epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,3,,,2.059282064437866,2.059282064437866
0,3,1.0025278329849243,,,
1,7,,,1.9910874366760254,1.9910874366760254
1,7,1.0009397268295288,,,
2,11,,,2.0302951335906982,2.0302951335906982
2,11,0.9920933842658997,,,
3,15,,,2.045847177505493,2.045847177505493
3,15,0.9932532906532288,,,
4,19,,,1.9745463132858276,1.9745463132858276
4,19,0.9892072081565857,,,
5,23,,,1.9694609642028809,1.9694609642028809
5,23,0.9810256361961365,,,
6,27,,,1.9475196599960327,1.9475196599960327
6,27,0.9772282242774963,,,
7,31,,,1.9072076082229614,1.9072076082229614
7,31,0.9721968770027161,,,
8,35,,,1.9622232913970947,1.9622232913970947
8,35,0.9666864275932312,,,
9,39,,,2.0136570930480957,2.0136570930480957
9,39,0.9664545059204102,,,
10,43,,,1.956547498703003,1.956547498703003
10,43,0.9739091992378235,,,
11,47,,,1.939321756362915,1.939321756362915
11,47,0.9672518372535706,,,
12,49,,0.7570269107818604,,
12,51,,,1.797680139541626,1.797680139541626
12,51,0.9667559862136841,,,
13,55,,,1.880603313446045,1.880603313446045
13,55,0.9627919793128967,,,
14,59,,,1.9395291805267334,1.9395291805267334
14,59,0.9546207189559937,,,
15,63,,,1.8801060914993286,1.8801060914993286
15,63,0.9534211754798889,,,
16,67,,,1.8860679864883423,1.8860679864883423
16,67,0.945915162563324,,,
17,71,,,1.8498541116714478,1.8498541116714478
17,71,0.9463829398155212,,,
18,75,,,1.8685232400894165,1.8685232400894165
18,75,0.9388012290000916,,,
19,79,,,1.7558975219726562,1.7558975219726562
19,79,0.9309200048446655,,,
20,83,,,1.7464224100112915,1.7464224100112915
20,83,0.9391473531723022,,,
21,87,,,1.8041882514953613,1.8041882514953613
21,87,0.9242587089538574,,,
22,91,,,1.7271432876586914,1.7271432876586914
22,91,0.9222829341888428,,,
23,95,,,1.776248812675476,1.776248812675476
23,95,0.9250065088272095,,,
24,99,,0.540997326374054,,
24,99,,,1.6780316829681396,1.6780316829681396
24,99,0.9081065058708191,,,
25,103,,,1.8197373151779175,1.8197373151779175
25,103,0.9072296619415283,,,
26,107,,,1.7404444217681885,1.7404444217681885
26,107,0.901305615901947,,,
27,111,,,1.7148969173431396,1.7148969173431396
27,111,0.8959572911262512,,,
28,115,,,1.7046736478805542,1.7046736478805542
28,115,0.8895943760871887,,,
29,119,,,1.803406834602356,1.803406834602356
29,119,0.8859471678733826,,,
30,123,,,1.6395857334136963,1.6395857334136963
30,123,0.879007875919342,,,
31,127,,,1.720866322517395,1.720866322517395
31,127,0.8782861828804016,,,
32,131,,,1.7083032131195068,1.7083032131195068
32,131,0.8639274835586548,,,
33,135,,,1.6996821165084839,1.6996821165084839
33,135,0.8587994575500488,,,
34,139,,,1.6815125942230225,1.6815125942230225
34,139,0.8586771488189697,,,
35,143,,,1.685307502746582,1.685307502746582
35,143,0.8667035698890686,,,
36,147,,,1.5765646696090698,1.5765646696090698
36,147,0.8638776540756226,,,
37,149,,0.9325913190841675,,
37,151,,,1.8012787103652954,1.8012787103652954
37,151,0.8491929173469543,,,
38,155,,,1.5934232473373413,1.5934232473373413
38,155,0.8507068753242493,,,
39,159,,,1.6898716688156128,1.6898716688156128
39,159,0.8472105860710144,,,
40,163,,,1.7658426761627197,1.7658426761627197
40,163,0.8481096625328064,,,
41,167,,,1.617579460144043,1.617579460144043
41,167,0.832229495048523,,,
42,171,,,1.5744458436965942,1.5744458436965942
42,171,0.868601381778717,,,
43,175,,,1.8752596378326416,1.8752596378326416
43,175,0.8343313932418823,,,
44,179,,,1.6913673877716064,1.6913673877716064
44,179,0.8567725419998169,,,
45,183,,,1.5192105770111084,1.5192105770111084
45,183,0.8343212008476257,,,
46,187,,,1.6498726606369019,1.6498726606369019
46,187,0.8580325841903687,,,
47,191,,,1.7802610397338867,1.7802610397338867
47,191,0.8322020769119263,,,
48,195,,,1.6529009342193604,1.6529009342193604
48,195,0.8251941800117493,,,
49,199,,0.6891706585884094,,
49,199,,,1.5987169742584229,1.5987169742584229
49,199,0.8158584237098694,,,
